Id,SalePrice
1461,115546.99
1462,150450.17
1463,194561.03
1464,213161.98
1465,173387.6
1466,188986.95
1467,190861.98
1468,183156.67
1469,191436.28
1470,119648.68
1471,191858.77
1472,99208.59
1473,101787.49
1474,146081.66
1475,88819.836
1476,301162.88
1477,241829.88
1478,278039.0
1479,266457.16
1480,397967.53
1481,294809.7
1482,207266.97
1483,188318.55
1484,172624.05
1485,197846.66
1486,207343.42
1487,286828.06
1488,240341.52
1489,192051.95
1490,232756.52
1491,206127.12
1492,79242.1
1493,193629.12
1494,271583.88
1495,266484.53
1496,214317.89
1497,168128.81
1498,158912.73
1499,160713.31
1500,165783.02
1501,202887.56
1502,154547.36
1503,262053.55
1504,240965.69
1505,233811.88
1506,201741.52
1507,250143.34
1508,201324.23
1509,159644.2
1510,167740.39
1511,143407.16
1512,188270.73
1513,149764.14
1514,165679.66
1515,207513.08
1516,159250.12
1517,162204.89
1518,131596.11
1519,234497.8
1520,123945.22
1521,126145.08
1522,198309.83
1523,91061.805
1524,92386.18
1525,105215.945
1526,98750.266
1527,107592.99
1528,130759.945
1529,136314.34
1530,207380.55
1531,140100.45
1532,90487.445
1533,133581.73
1534,108778.98
1535,151796.64
1536,98659.67
1537,81678.62
1538,150826.25
1539,184976.42
1540,107595.52
1541,139923.42
1542,129164.97
1543,165810.2
1544,69077.52
1545,91219.65
1546,137435.6
1547,132069.45
1548,116974.45
1549,118034.14
1550,132857.81
1551,104056.95
1552,137845.33
1553,145084.12
1554,94412.31
1555,183091.0
1556,71603.055
1557,85321.45
1558,79568.41
1559,77839.68
1560,114594.52
1561,131680.22
1562,123112.79
1563,113458.87
1564,166360.3
1565,158631.22
1566,226917.58
1567,78686.79
1568,242890.98
1569,142029.33
1570,140547.67
1571,111616.98
1572,142729.72
1573,215600.61
1574,138886.95
1575,228452.58
1576,256836.9
1577,190027.67
1578,141153.38
1579,143853.34
1580,201206.48
1581,154030.58
1582,125533.51
1583,295240.28
1584,234972.38
1585,151496.2
1586,58293.062
1587,87243.76
1588,140727.61
1589,105178.48
1590,127782.17
1591,79100.21
1592,136675.31
1593,118824.24
1594,102617.85
1595,115690.68
1596,208328.58
1597,181902.27
1598,195040.16
1599,161801.12
1600,167900.27
1601,42685.227
1602,107410.29
1603,54316.297
1604,238374.23
1605,244701.78
1606,169570.56
1607,179368.06
1608,231974.02
1609,184377.42
1610,168067.97
1611,152271.86
1612,189853.27
1613,199620.97
1614,120188.71
1615,79369.63
1616,67391.48
1617,84317.91
1618,111446.49
1619,144530.52
1620,195709.36
1621,138829.38
1622,142933.42
